Epoch,Train Loss,Train Acc (%),Val Loss,Val Top1 (%),Val Top5 (%)
1,4.812400,30.33,1.736991,48.66,83.46
2,2.918500,52.30,1.226740,63.98,91.38
3,2.095700,63.10,1.007155,68.81,93.23
4,1.779700,67.88,0.948916,70.73,93.73
5,1.629800,70.38,1.428137,59.18,85.42
6,1.491100,72.78,1.013548,69.38,93.92
7,1.401100,74.77,0.837890,73.94,95.16
8,1.335500,75.85,0.959713,72.11,93.55
9,1.298500,76.53,0.843259,73.92,95.37
10,1.245500,77.71,0.951187,72.63,93.76
11,1.208700,78.30,1.362791,61.40,92.19
12,1.186700,78.79,0.776842,76.07,95.82
13,1.150300,79.39,0.862278,73.61,95.20
14,1.135700,79.43,0.752743,76.95,95.78
15,1.114300,80.02,0.736472,78.11,96.01
16,1.139700,79.46,0.909655,74.05,93.87
17,1.108300,79.84,0.805735,76.72,95.01
18,1.098100,80.23,0.696781,79.27,96.35
19,1.067800,80.48,0.759280,77.33,95.51
20,1.061900,80.81,0.717089,78.44,96.40
21,1.050800,80.98,0.717455,77.68,96.41
22,1.041500,80.99,0.775141,77.37,95.80
23,1.025200,81.50,0.645256,80.75,96.60
24,1.026000,81.60,0.714273,78.71,96.05
25,1.027500,81.26,0.703660,79.02,96.12
26,1.016900,81.48,0.685894,79.80,95.99
27,0.998700,82.05,0.609414,81.08,96.97
28,1.004300,81.92,0.636579,81.06,96.52
29,1.015600,81.80,0.883575,74.68,94.81
30,0.999700,81.99,0.757495,77.50,95.81
31,0.624600,88.69,0.373723,88.44,98.25
32,0.521800,90.69,0.368179,88.66,98.30
33,0.476600,91.54,0.372089,88.80,98.28
34,0.443300,92.16,0.364584,89.04,98.37
36,0.616900,93.34,0.348224,89.57,98.46
37,0.405500,93.49,0.346928,89.59,98.42
38,0.386700,93.67,0.342061,89.83,98.49
39,0.375300,93.89,0.348951,89.57,98.37
40,0.365000,94.04,0.346154,89.83,98.46
41,0.358300,94.15,0.343175,89.69,98.41
42,0.356300,94.03,0.345902,89.65,98.42
43,0.355600,94.17,0.344763,89.83,98.44
44,0.344000,94.27,0.346084,89.88,98.44
45,0.344200,94.30,0.345881,89.79,98.41
46,0.338600,94.43,0.347933,89.69,98.42
47,0.332100,94.57,0.346346,89.81,98.45
48,0.326600,94.54,0.345144,89.85,98.42
49,0.319400,94.70,0.348323,89.68,98.40
50,0.311000,94.96,0.345954,89.85,98.40
