Epoch,Train Loss,Train Acc (%),Val Loss,Val Top1 (%),Val Top5 (%)
1,3.519400,13.36,2.947960,21.57,48.94
2,2.389700,32.81,1.949673,44.39,79.69
3,1.575800,51.99,1.541311,53.14,88.07
4,1.153600,63.43,1.301059,60.17,90.81
5,0.944500,69.71,1.187595,63.01,92.11
6,0.793600,74.15,1.071487,66.48,94.33
7,0.706800,76.53,1.016710,67.23,94.66
8,0.625400,79.26,1.133651,64.90,93.18
9,0.575600,80.57,0.831012,73.43,96.23
10,0.526500,82.04,0.762495,75.17,96.84
11,0.494900,83.38,0.842354,73.75,95.94
12,0.458500,84.39,0.873759,73.02,96.08
13,0.428000,85.64,0.800646,74.59,96.68
14,0.414400,85.69,0.979720,72.97,95.78
15,0.394600,86.53,0.827484,74.69,96.80
16,0.374000,87.20,0.708988,78.05,97.04
17,0.362300,87.54,0.748372,76.52,97.04
18,0.342600,88.25,0.723881,77.96,97.18
19,0.333500,88.65,0.905678,73.46,95.06
20,0.327300,88.77,0.678769,79.47,97.48
21,0.319400,88.99,0.711323,77.76,97.13
22,0.302800,89.59,0.796901,75.95,96.37
23,0.293100,89.97,0.699971,79.23,97.19
24,0.292200,89.85,0.748936,77.32,97.16
25,0.285200,90.30,0.741832,78.14,97.08
26,0.279000,90.41,0.670979,79.80,97.11
27,0.272800,90.73,0.702370,78.78,97.53
28,0.264400,91.12,0.792324,76.11,96.67
29,0.261000,90.89,0.782468,77.93,96.81
30,0.255600,91.22,0.838918,75.86,96.13
31,0.248300,91.63,0.884275,74.51,96.06
32,0.251300,91.40,0.789476,76.85,96.79
33,0.250800,91.52,0.671933,80.17,97.50
34,0.229200,92.17,0.785903,77.56,97.31
35,0.231200,92.12,0.839665,76.90,96.55
36,0.127700,95.88,0.474025,86.28,98.45
37,0.087700,97.36,0.469098,86.47,98.60
38,0.077900,97.77,0.473830,86.42,98.49
39,0.069400,97.96,0.474077,86.44,98.51
40,0.063400,98.20,0.478218,86.37,98.47
41,0.060200,98.22,0.481716,86.44,98.44
42,0.054200,98.47,0.485983,86.37,98.40
43,0.052500,98.49,0.497219,86.37,98.46
44,0.048400,98.69,0.489643,86.38,98.44
45,0.046200,98.76,0.496165,86.50,98.39
46,0.046200,98.70,0.504727,85.98,98.37
47,0.039400,98.96,0.506971,86.19,98.27
48,0.039200,98.93,0.507345,86.46,98.31
49,0.039500,98.90,0.521144,85.86,98.29
50,0.036300,99.00,0.523747,85.83,98.27
51,0.034000,99.09,0.523052,86.04,98.36
52,0.034200,99.14,0.522261,86.25,98.25
53,0.032800,99.15,0.516171,86.15,98.24
54,0.032400,99.18,0.531920,85.85,98.23
55,0.028300,99.32,0.534218,86.18,98.10
56,0.024000,99.42,0.524237,86.17,98.25
57,0.022700,99.48,0.526311,86.01,98.28
58,0.021300,99.58,0.523326,86.16,98.24
59,0.020200,99.57,0.527608,86.11,98.27
60,0.019800,99.62,0.522068,86.33,98.33
61,0.020100,99.56,0.524625,86.18,98.23
62,0.020500,99.53,0.527905,86.16,98.21
63,0.019400,99.62,0.528815,86.13,98.27
64,0.018300,99.64,0.525580,86.15,98.27
65,0.019500,99.60,0.527792,86.01,98.24
